#Run-Nmb,scanned Para
#HEPHY-Topside biased,threshold scan
60,20
61,35
62,50
63,65
64,80
65,95
66,110
67,125
68,140
69,155
70,170
71,185
72,200
73,215
74,230
75,245
76,260
77,275
78,290
79,305
80,320
81,335
82,350
83,365
84,380
85,395
#HEPHY-Topside biased,HV scan
174,-190
175,-175
176,-160
177,-145
178,-130
179,-115
180,-100
181,-85
182,-70
183,-55
184,-40
185,-25
#Run-Nmb,scanned Para
#HEPHY-Backside biased,threshold scan
206,35
207,50
208,65
209,80
210,95
211,110
212,125
213,140
214,155
215,170
216,185
217,200
218,215
219,230
220,245
221,260
222,275
223,290
224,305
225,320
226,335
227,350
228,365
229,380
230,395
#HEPHY-Backside biased,HV scan
234,-200
235,-185
236,-170
237,-155
238,-140
239,-125
240,-110
241,-95
242,-80
243,-65
244,-50
245,-35
246,-20
247,-5
251,-450
252,-400
253,-350
254,-300
255,-250
271,-10
272,-9
273,-8
274,-7
275,-6
276,-5
277,-4
278,-3
279,-2
#liverpool-frontside  biased,threshold scan
341,20
342,35
343,50
344,65
345,80
346,95
347,110
348,125
349,140
350,155
351,170
352,185
353,200
354,215
355,230
356,245
357,260
358,275
359,290
360,305
361,320
362,335
363,350
364,365
365,380
366,395
#liverpool-frontside  biased,HV scan
372,-500
373,-495
374,-490
375,-485
376,-480
377,-475
378,-470
379,-465
380,-460
381,-455
382,-450
383,-445
384,-440
385,-435
386,-430
387,-425
388,-420
389,-415
390,-410
391,-405
392,-400
393,-395
394,-390
395,-385
396,-380
397,-375
398,-370
399,-365
400,-360
401,-355
402,-350
403,-345
404,-340
405,-335
406,-330
407,-325
408,-320
409,-315
410,-310
411,-305
412,-300
413,-295
414,-290
415,-285
416,-280
417,-275
418,-270
419,-265
420,-260
421,-255
422,-250
423,-245
424,-240
425,-235
426,-230
427,-225
428,-220
429,-215
430,-210
431,-205
432,-200
433,-195
434,-190
435,-185
436,-180
437,-175
438,-170
439,-165
440,-160
441,-155
442,-150
443,-145
444,-140
445,-135
446,-130
447,-125
448,-120
449,-115
450,-110
451,-105
452,-100
453,-95
454,-90
455,-85
456,-80
457,-75
458,-70
459,-65
460,-60
461,-55
462,-50
463,-45
464,-40
465,-35
#nikhef-Backside biased,HV scan
308,-20
309,-18
310,-16
311,-14
312,-12
313,-10
314,-8
315,-6
316,-4
317,-2
322,-500
323,-450
324,-400
325,-350
326,-300
327,-250
328,-200
329,-150
330,-100
331,-50
#HEPHY-Backside biased,threshold scan
494,20
495,50
496,80
497,110
498,140
499,170
500,200
501,230
502,260
503,290
504,320
505,350
506,380
#HEPHY-Backside biased,HV scan
468,-190
469,-180
470,-170
471,-160
472,-150
473,-140
474,-130
475,-120
476,-110
477,-100
478,-90
479,-80
480,-70
481,-65
482,-60
483,-55
484,-50
485,-45
486,-40
487,-35
488,-30
489,-25
490,-20
491,-15
492,-10
493,-5
