#Run-Nmb,scanned Para
#HEPHY-Backside biased,threshold scan
206,35
207,50
208,65
209,80
210,95
211,110
212,125
213,140
214,155
215,170
216,185
217,200
218,215
219,230
220,245
221,260
222,275
223,290
224,305
225,320
226,335
227,350
228,365
229,380
230,395
#HEPHY-Backside biased,HV scan
234,-200
235,-185
236,-170
237,-155
238,-140
239,-125
240,-110
241,-95
242,-80
243,-65
244,-50
245,-35
246,-20
247,-5
251,-450
252,-400
253,-350
254,-300
255,-250
271,-10
272,-9
273,-8
274,-7
275,-6
276,-5
277,-4
278,-3
279,-2
